Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum\PhotoAlbum.csproj,File,PhotoAlbum\PhotoAlbum.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum\PhotoAlbum.csproj,File,PhotoAlbum\PhotoAlbum.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.9,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PhotoAlbum\PhotoAlbum.csproj,File,PhotoAlbum\PhotoAlbum.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.9,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.9,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.12"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests\PhotoAlbum.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
